cand_id,development,event_type,source_type,title,publisher,published_date,source_url,file_kind,event_date_초안,date_precision,mode,scope,promise_verb_원문표기,page_or_section,exact_excerpt,confidence,notes,url_clean,domain_check,http_status,file_kind_actual,kind_mismatch,sha256_raw,bytes,local_path,sha256_text,dup_of,excerpt_found,excerpt_sim,retrieved_at,review_status,reject_reason
H001,화성 동탄2,occupancy_start,official_press_release,"LH 수도권 최대 신도시 동탄(2)지구, 첫 입주 시작",한국토지주택공사,2015-01-23,https://www.lh.or.kr/gallery.es?act=view&b_list=8&bid=0003&keyField=&list_no=7977&mid=a10502000000&nPage=342&orderby=&vlist_no_npage=547,html,2015-01,month,occupancy,district,첫 입주 시작,제목,"동탄(2)지구, 첫 입주 시작",high,실제 최초입주를 직접 표제화한 LH 보도자료,https://www.lh.or.kr/gallery.es?act=view&b_list=8&bid=0003&keyField=&list_no=7977&mid=a10502000000&nPage=342&orderby=&vlist_no_npage=547,ALLOW,200,html,,186fbbd4158f0d99383f971b740a45594b0d65ff222357ec2be35ed32576ecdc,84516,evidence\documents\화성 동탄2\2015-01-23_LH_수도권_최대_신도시_동탄_2_지구__첫_입주_시작.html,9e1457504d771947f0c67a26e059f4390be7bbd5632e73522ffac1f8d732876b,,TOO_SHORT,,2026-08-26T20:16:06+09:00,needs_human,인용문:TOO_SHORT
H002,화성 동탄2,occupancy_start,official_press_release,동탄(2)신도시 개발계획 확정,국토교통부,2007-05-11,https://www.molit.go.kr/USR/NEWS/m_18578/dtl.jsp?id=155208949&lcmspage=157,html,2012-09,month,occupancy,district,이루어지도록 할 계획,본문 입주계획,최초 입주는 2012년 9월 이전에 이루어지도록 할 계획,medium,초기 계획시점 후보이며 실제 최초입주는 H001로 재확인,https://www.molit.go.kr/USR/NEWS/m_18578/dtl.jsp?id=155208949&lcmspage=157,ALLOW,200,html,,192e29362a4c1c7ffd0383a68178cc767e91130b425d82bd9667b9cfc87350aa,77151,evidence\documents\화성 동탄2\2007-05-11_동탄_2_신도시_개발계획_확정.html,48c62f79445e35d6b3f3711f979d29df992889eaa8a57075efbf02727c7d38e2,,TOO_SHORT,,2026-08-26T20:16:10+09:00,needs_human,인용문:TOO_SHORT
H003,화성 동탄2,promise_date,official_press_release,수원호매실·화성동탄2 광역교통 특별대책,국토교통부 대도시권광역교통위원회,2022-10-26,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95087345&lcmspage=5,html,2024,year,rail_bus,district,추진,화성동탄2 대책,GTX-A 연계교통과 광역버스 개선을 추진,high,대책 확정 문서이며 개별 사업별 변경 가능성은 별도 추적 필요,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95087345&lcmspage=5,ALLOW,200,html,,13a063885f63b7ed81d889fc19b67294ea7b718629b3e158a3c951490f286f1a,28790,evidence\documents\화성 동탄2\2022-10-26_수원호매실_화성동탄2_광역교통_특별대책.html,34ec21a11858057404c4a6e77d4eb8e9fdd8187509a3336b156d3e565a39d9a4,,TOO_SHORT,,2026-08-26T20:16:14+09:00,needs_human,인용문:TOO_SHORT
H004,화성 동탄2,promise_date,official_press_release,수원호매실·화성동탄2 광역교통 특별대책 주민간담회,국토교통부 대도시권광역교통위원회,2022-06-16,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95086846&lcmspage=1,html,미정,unknown,bus,district,신설·증차,화성동탄2 개선안,광역버스 노선 신설·증차,medium,확정 전 의견수렴 단계 후보라 H003보다 증거 우선순위가 낮음,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95086846&lcmspage=1,ALLOW,200,html,,8373e47f77ceeaf11f8f57611ad1bf042889d32f5045388bfcab532e3114134e,23410,evidence\documents\화성 동탄2\2022-06-16_수원호매실_화성동탄2_광역교통_특별대책_주민간담회.html,eecd8ffc85acd6e791170cf7a31157ee4a4ed14c8d6d2126446776e57f4d4241,,TOO_SHORT,,2026-08-26T20:16:18+09:00,needs_human,인용문:TOO_SHORT
H005,화성 동탄2,actual_operation,official_press_release,GTX-A 수서~동탄 구간 3월 30일 개통,국토교통부,2024-03-29,https://www.molit.go.kr/USR/NEWS/m_72/dtl.jsp?id=95089607&lcmspage=2,html,2024-03-30,day,rail,corridor,개통·첫 열차 출발,제목 및 운행개시 안내,3월 30일 첫 열차 오전 5시 30분 출발,high,동탄역을 직접 포함하는 실제 영업운행 개시,https://www.molit.go.kr/USR/NEWS/m_72/dtl.jsp?id=95089607&lcmspage=2,ALLOW,200,html,,8d574faa72a6fcb866671e00af961c8a3435f8db51695c18c372357547b79bc7,58587,evidence\documents\화성 동탄2\2024-03-29_GTX-A_수서_동탄_구간_3월_30일_개통.html,c8c6121aeeea402b8529ff429f13b8da6ca8a77c0e5fcbdc6818d6d1d06d2da1,,TOO_SHORT,,2026-08-26T20:16:21+09:00,needs_human,인용문:TOO_SHORT
H006,화성 동탄2,actual_operation,official_service_release,“Start SRT” 기대 속 첫 출발,에스알,2016-12-09,https://www.srail.or.kr/cms/article/view.do?pageId=KR0502000000&postNo=56,html,2016-12-09,day,rail,corridor,본격적인 운행에 들어갔다,본문,SRT가 9일 오전 5시10분 본격적인 운행에 들어갔다,high,본문이 동탄역의 첫 운행 축하행사를 명시,https://www.srail.or.kr/cms/article/view.do?pageId=KR0502000000&postNo=56,ALLOW,200,html,,afe281f924c5c9a6d36b273d524df37506d339837651f6160fe0b006d24eab68,42904,evidence\documents\화성 동탄2\2016-12-09__Start_SRT__기대_속_첫_출발.html,d7ddbf21da12241d646d99d8cb26610825cb182112dfc2994a48650a001fd2d3,,TOO_SHORT,,2026-08-26T20:16:24+09:00,needs_human,인용문:TOO_SHORT
H007,김포 한강,occupancy_start,official_press_release,김포한강신도시 아파트 첫 입주 등 입주물량 증가세,국토교통부,2011-06-30,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95068404&lcmspage=346,html,2011-06,month,occupancy,district,첫 입주,제목 및 본문,김포한강신도시 아파트 첫 입주,high,정부가 지구 첫 입주를 직접 표제화,https://www.molit.go.kr/USR/NEWS/m_71/dtl.jsp?id=95068404&lcmspage=346,ALLOW,200,html,,9ad6d54a2e031812263f4e52c1c1a6da2f6a69c9ef0c2c261dfc10f1c386d0ce,61161,evidence\documents\김포 한강\2011-06-30_김포한강신도시_아파트_첫_입주_등_입주물량_증가세.html,4d99807a6bb1e90a9cf541ae32ff8011be1c199c6ee59ddc92b1a91daacc5d07,,TOO_SHORT,,2026-08-26T20:16:28+09:00,needs_human,인용문:TOO_SHORT
H008,김포 한강,occupancy_start,official_minutes,경기도의회 제258회 임시회 회의록,경기도의회,2011-05-03,https://kms.ggc.go.kr/cms/mntsViewer.do?mntsId=718,html,2011-06,month,occupancy,district,첫 입주에 맞춰,교통건설국 업무보고,6월 한강신도시 첫 입주에 맞춰,medium,입주 직전 공식 회의록의 예정시점 후보이며 H007과 교차검증,https://kms.ggc.go.kr/cms/mntsViewer.do?mntsId=718,ALLOW,200,html,,4383ab01a57617fd5f9f980139afe773bf414b256f1f7dba188b4509bc0153e9,75413,evidence\documents\김포 한강\2011-05-03_경기도의회_제258회_임시회_회의록.html,255cf237d7b9cd25ffcd326fe7ae3a2effaa8a994c3cb83955d40bd6526a0d16,,TOO_SHORT,,2026-08-26T20:16:31+09:00,needs_human,인용문:TOO_SHORT
H009,김포 한강,promise_date,official_brochure,김포양곡 행복주택 지역위치도·교통망도,한국토지주택공사,2017,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646642&seq=3,pdf,2018,year,rail,district_adjacent,개통 예정,6~7쪽 교통망도,김포도시철도 2018년 개통 예정,high,김포한강신도시 인접 LH 공급자료의 명시적 일정,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646642&seq=3,ALLOW,200,pdf,,a3c74951c8e5c04931fc3d631c069bf6b22718e2978eb0d577e1941c58393e7f,11321040,evidence\documents\김포 한강\2017_김포양곡_행복주택_지역위치도_교통망도.pdf,4082634c9f2f756534e083588621afe21f6f5d57253a3261ba668c82db266033,,TOO_SHORT,,2026-08-26T20:16:36+09:00,needs_human,인용문:TOO_SHORT
H010,김포 한강,promise_date,official_brochure,김포한강 행복주택 지역위치도·교통망도,한국토지주택공사,2017,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646666&seq=3,pdf,2018,year,rail,district,개통 예정,6~7쪽,김포도시철도 구래역 2018년 개통 예정,high,신도시 내부 구래역을 특정한 LH 원문,https://lh.or.kr/boardDownload.es?bid=0034&list_no=646666&seq=3,ALLOW,200,pdf,,e1ebc0fea640403e26a71cfea8ebace74b5da734ea1371ad0713ba9974d0da49,20512357,evidence\documents\김포 한강\2017_김포한강_행복주택_지역위치도_교통망도.pdf,ad8a2ec791d9ddc0a5b69f8b7accba62feb4af059de9662e236cd656330ce625,,TOO_SHORT,,2026-08-26T20:16:42+09:00,needs_human,인용문:TOO_SHORT
